"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Institution4","Institution4","","","",0,*,"","","","null {[]} {[]}
","INSTITUTION (4)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Institution4.stationNumber","Institution4.stationNumber","","","",0,1,"","","","Element {[]} {[]}
","STATION NUMBER (-99)","STATION NUMBER (-99)","","","","","","","","","",,,,,"",,,,"Institution4.stationNumber",0,1,"",""
"Institution4.name","Institution4.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"Institution4.name",0,1,"",""
"Institution4.state","Institution4.state","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/State5]]}
","STATE (-.02)","STATE (-.02)","","","","","","","","","",,,,,"",,,,"Institution4.state",0,1,"",""
"Institution4.district","Institution4.district","","","",0,1,"","","","Element {[]} {[]}
","DISTRICT (-.03)","DISTRICT (-.03)","","","","","","","","","",,,,,"",,,,"Institution4.district",0,1,"",""
"Institution4.streetAddr1","Institution4.streetAddr1","","","",0,1,"","","","Element {[]} {[]}
","STREET ADDR. 1 (-1.01)","STREET ADDR. 1 (-1.01)","","","","","","","","","",,,,,"",,,,"Institution4.streetAddr1",0,1,"",""
"Institution4.streetAddr2","Institution4.streetAddr2","","","",0,1,"","","","Element {[]} {[]}
","STREET ADDR. 2 (-1.02)","STREET ADDR. 2 (-1.02)","","","","","","","","","",,,,,"",,,,"Institution4.streetAddr2",0,1,"",""
"Institution4.city","Institution4.city","","","",0,1,"","","","Element {[]} {[]}
","CITY (-1.03)","CITY (-1.03)","","","","","","","","","",,,,,"",,,,"Institution4.city",0,1,"",""
"Institution4.zip","Institution4.zip","","","",0,1,"","","","Element {[]} {[]}
","ZIP (-1.04)","ZIP (-1.04)","","","","","","","","","",,,,,"",,,,"Institution4.zip",0,1,"",""
"Institution4.country","Institution4.country","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Country779004]]}
","COUNTRY (-801)","COUNTRY (-801)","","","","","","","","","",,,,,"",,,,"Institution4.country",0,1,"",""
"Institution4.npi","Institution4.npi","","","",0,1,"","","","Element {[]} {[]}
","NPI (-41.99)","NPI (-41.99)","","","","","","","","","",,,,,"",,,,"Institution4.npi",0,1,"",""
"Institution4.shortName","Institution4.shortName","","","",0,1,"","","","Element {[]} {[]}
","SHORT NAME (-.05)","SHORT NAME (-.05)","","","","","","","","","",,,,,"",,,,"Institution4.shortName",0,1,"",""
"Institution4.contact","Institution4.contact","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Contact403]]}
","CONTACT (-4)","CONTACT (-4)","","","","","","","","","",,,,,"",,,,"Institution4.contact",0,1,"",""
"Institution4.stAddr1Mailing","Institution4.stAddr1Mailing","","","",0,1,"","","","Element {[]} {[]}
","ST. ADDR. 1 (MAILING) (-4.01)","ST. ADDR. 1 (MAILING) (-4.01)","","","","","","","","","",,,,,"",,,,"Institution4.stAddr1Mailing",0,1,"",""
"Institution4.stAddr2Mailing","Institution4.stAddr2Mailing","","","",0,1,"","","","Element {[]} {[]}
","ST. ADDR. 2 (MAILING) (-4.02)","ST. ADDR. 2 (MAILING) (-4.02)","","","","","","","","","",,,,,"",,,,"Institution4.stAddr2Mailing",0,1,"",""
"Institution4.cityMailing","Institution4.cityMailing","","","",0,1,"","","","Element {[]} {[]}
","CITY (MAILING) (-4.03)","CITY (MAILING) (-4.03)","","","","","","","","","",,,,,"",,,,"Institution4.cityMailing",0,1,"",""
"Institution4.stateMailing","Institution4.stateMailing","","","",0,1,"","","","Element {[]} {[]}
","STATE (MAILING) (-4.04)","STATE (MAILING) (-4.04)","","","","","","","","","",,,,,"",,,,"Institution4.stateMailing",0,1,"",""
"Institution4.zipMailing","Institution4.zipMailing","","","",0,1,"","","","Element {[]} {[]}
","ZIP (MAILING) (-4.05)","ZIP (MAILING) (-4.05)","","","","","","","","","",,,,,"",,,,"Institution4.zipMailing",0,1,"",""
