"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"NewPerson200","NewPerson200","","","",0,*,"","","","null {[]} {[]}
","NEW PERSON (200)","This StructureDefinition contains the Logical Model for the mapped parts of the source NEW PERSON (200)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NewPerson200.npi","NewPerson200.npi","","","",0,1,"","","","Element {[]} {[]}
","NPI (-41.99)","NPI (-41.99)","","","","","","","","","",,,,,"",,,,"NewPerson200.npi",0,1,"",""
"NewPerson200.dea","NewPerson200.dea","","","",0,1,"","","","Element {[]} {[]}
","DEA# (-53.2)","DEA# (-53.2)","","","","","","","","","",,,,,"",,,,"NewPerson200.dea",0,1,"",""
"NewPerson200.va","NewPerson200.va","","","",0,1,"","","","Element {[]} {[]}
","VA# (-53.3)","VA# (-53.3)","","","","","","","","","",,,,,"",,,,"NewPerson200.va",0,1,"",""
"NewPerson200.vpid","NewPerson200.vpid","","","",0,1,"","","","Element {[]} {[]}
","VPID (-9000)","VPID (-9000)","","","","","","","","","",,,,,"",,,,"NewPerson200.vpid",0,1,"",""
"NewPerson200.effectiveDatetime","NewPerson200.effectiveDatetime","","","",0,1,"","","","Element {[]} {[]}
","EFFECTIVE DATE/TIME (-42)","EFFECTIVE DATE/TIME (-42)","","","","","","","","","",,,,,"",,,,"NewPerson200.effectiveDatetime",0,1,"",""
"NewPerson200.nameComponents","NewPerson200.nameComponents","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/NameComponents20]]}
","NAME COMPONENTS (-10.1)","NAME COMPONENTS (-10.1)","","","","","","","","","",,,,,"",,,,"NewPerson200.nameComponents",0,1,"",""
"NewPerson200.phoneHome","NewPerson200.phoneHome","","","",0,1,"","","","Element {[]} {[]}
","PHONE (HOME) (-.131)","PHONE (HOME) (-.131)","","","","","","","","","",,,,,"",,,,"NewPerson200.phoneHome",0,1,"",""
"NewPerson200.dob","NewPerson200.dob","","","",0,1,"","","","Element {[]} {[]}
","DOB (-5)","DOB (-5)","","","","","","","","","",,,,,"",,,,"NewPerson200.dob",0,1,"",""
"NewPerson200.degree","NewPerson200.degree","","","",0,1,"","","","Element {[]} {[]}
","DEGREE (-10.6)","DEGREE (-10.6)","","","","","","","","","",,,,,"",,,,"NewPerson200.degree",0,1,"",""
"NewPerson200.ien","NewPerson200.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"NewPerson200.ien",0,1,"",""
"NewPerson200.sex","NewPerson200.sex","","","",0,1,"","","","Coding {[]} {[]}
","SEX (-4)","SEX (-4)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFproviderGender-vista","",,,,"NewPerson200.sex",0,1,"",""
"NewPerson200.officePhone","NewPerson200.officePhone","","","",0,1,"","","","Element {[]} {[]}
","OFFICE PHONE (-.132)","OFFICE PHONE (-.132)","","","","","","","","","",,,,,"",,,,"NewPerson200.officePhone",0,1,"",""
"NewPerson200.phone3","NewPerson200.phone3","","","",0,1,"","","","Element {[]} {[]}
","PHONE #3 (-.133)","PHONE #3 (-.133)","","","","","","","","","",,,,,"",,,,"NewPerson200.phone3",0,1,"",""
"NewPerson200.phone4","NewPerson200.phone4","","","",0,1,"","","","Element {[]} {[]}
","PHONE #4 (-.134)","PHONE #4 (-.134)","","","","","","","","","",,,,,"",,,,"NewPerson200.phone4",0,1,"",""
"NewPerson200.commercialPhone","NewPerson200.commercialPhone","","","",0,1,"","","","Element {[]} {[]}
","COMMERCIAL PHONE (-.135)","COMMERCIAL PHONE (-.135)","","","","","","","","","",,,,,"",,,,"NewPerson200.commercialPhone",0,1,"",""
"NewPerson200.faxNumber","NewPerson200.faxNumber","","","",0,1,"","","","Element {[]} {[]}
","FAX NUMBER (-.136)","FAX NUMBER (-.136)","","","","","","","","","",,,,,"",,,,"NewPerson200.faxNumber",0,1,"",""
"NewPerson200.voicePager","NewPerson200.voicePager","","","",0,1,"","","","Element {[]} {[]}
","VOICE PAGER (-.137)","VOICE PAGER (-.137)","","","","","","","","","",,,,,"",,,,"NewPerson200.voicePager",0,1,"",""
"NewPerson200.digitalPager","NewPerson200.digitalPager","","","",0,1,"","","","Element {[]} {[]}
","DIGITAL PAGER (-.138)","DIGITAL PAGER (-.138)","","","","","","","","","",,,,,"",,,,"NewPerson200.digitalPager",0,1,"",""
"NewPerson200.emailAddress","NewPerson200.emailAddress","","","",0,1,"","","","Element {[]} {[]}
","EMAIL ADDRESS (-.151)","EMAIL ADDRESS (-.151)","","","","","","","","","",,,,,"",,,,"NewPerson200.emailAddress",0,1,"",""
"NewPerson200.personClass","NewPerson200.personClass","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/PersonClass20005]]}
","PERSON CLASS (-8932.1)","PERSON CLASS (-8932.1)","","","","","","","","","",,,,,"",,,,"NewPerson200.personClass",0,1,"",""
"NewPerson200.name","NewPerson200.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"NewPerson200.name",0,1,"",""
